,actual_ta,actual_td,gbtt_pta,gbtt_ptd,late_canc_reason,location,rid,date_of_service,ta_diff,td_diff,actual_lay,gbtt_lay
0,,2018-02-05 07:30:00,,2018-02-05 07:30:00,,EDB,201802057198082,2018-02-05,,0.0,,
1,2018-02-05 07:35:00,2018-02-05 07:35:00,2018-02-05 07:34:00,2018-02-05 07:34:00,,HYM,201802057198082,2018-02-05,1.0,1.0,0.0,0.0
2,2018-02-05 07:49:00,2018-02-05 07:50:00,2018-02-05 07:49:00,2018-02-05 07:49:00,,LIN,201802057198082,2018-02-05,0.0,1.0,1.0,0.0
3,2018-02-05 07:55:00,2018-02-05 07:57:00,2018-02-05 07:55:00,2018-02-05 07:56:00,,PMT,201802057198082,2018-02-05,0.0,1.0,2.0,1.0
4,2018-02-05 08:01:00,2018-02-05 08:02:00,2018-02-05 08:00:00,2018-02-05 08:01:00,,FKK,201802057198082,2018-02-05,1.0,1.0,1.0,1.0
5,2018-02-05 08:11:00,2018-02-05 08:13:00,2018-02-05 08:10:00,2018-02-05 08:11:00,,CRO,201802057198082,2018-02-05,1.0,2.0,2.0,1.0
6,2018-02-05 08:25:00,,2018-02-05 08:25:00,,,GLQ,201802057198082,2018-02-05,0.0,,,
7,,2018-02-06 07:34:00,,2018-02-06 07:30:00,,EDB,201802067198082,2018-02-06,,4.0,,
8,2018-02-06 07:38:00,2018-02-06 07:39:00,2018-02-06 07:34:00,2018-02-06 07:34:00,,HYM,201802067198082,2018-02-06,4.0,5.0,1.0,0.0
9,2018-02-06 07:53:00,2018-02-06 07:55:00,2018-02-06 07:49:00,2018-02-06 07:49:00,,LIN,201802067198082,2018-02-06,4.0,6.0,2.0,0.0
10,2018-02-06 08:00:00,2018-02-06 08:01:00,2018-02-06 07:55:00,2018-02-06 07:56:00,,PMT,201802067198082,2018-02-06,5.0,5.0,1.0,1.0
11,2018-02-06 08:06:00,2018-02-06 08:07:00,2018-02-06 08:00:00,2018-02-06 08:01:00,,FKK,201802067198082,2018-02-06,6.0,6.0,1.0,1.0
12,2018-02-06 08:17:00,2018-02-06 08:19:00,2018-02-06 08:10:00,2018-02-06 08:11:00,,CRO,201802067198082,2018-02-06,7.0,8.0,2.0,1.0
13,2018-02-06 08:33:00,,2018-02-06 08:25:00,,,GLQ,201802067198082,2018-02-06,8.0,,,
14,,2018-02-07 07:30:00,,2018-02-07 07:30:00,,EDB,201802077198082,2018-02-07,,0.0,,
15,2018-02-07 07:34:00,2018-02-07 07:35:00,2018-02-07 07:34:00,2018-02-07 07:34:00,,HYM,201802077198082,2018-02-07,0.0,1.0,1.0,0.0
16,2018-02-07 07:48:00,2018-02-07 07:49:00,2018-02-07 07:49:00,2018-02-07 07:49:00,,LIN,201802077198082,2018-02-07,-1.0,0.0,1.0,0.0
17,2018-02-07 07:54:00,2018-02-07 07:56:00,2018-02-07 07:55:00,2018-02-07 07:56:00,,PMT,201802077198082,2018-02-07,-1.0,0.0,2.0,1.0
